                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66228,                 1.8809,                 2.0095,                 1.2123,                0.66566,                0.70968,                0.80441,                0.62543,                0.72385,                0.67742,                0.76085,                0.53057,                 0.6415,                   1.52,                 3.1082,                 1.2219,                0.00026,                0.00026,                0.00026
                      2,                0.69729,                 1.6791,                 1.9526,                  1.144,                0.29036,                0.90323,                0.67997,                0.44561,                0.29036,                0.90323,                0.67666,                0.47561,                 1.1349,                 1.7673,                 15.129,                 1.7191,             0.00052218,             0.00052218,             0.00052218
                      3,                0.83894,                 1.7484,                 3.9074,                 1.3035,                0.00411,                0.22581,                0.00306,                0.00159,                0.00408,                0.06452,                0.00244,                0.00123,                 1.6125,                 3.1418,                 27.883,                 2.3729,             0.00076588,             0.00076588,             0.00076588
                      4,                 1.2053,                 2.6553,                 3.4348,                 1.5061,                0.16195,                0.29032,                0.13449,                0.06058,                0.18273,                0.25806,                0.14576,                0.05347,                 2.3299,                 5.0377,                 9.8993,                 3.3079,              0.0009911,              0.0009911,              0.0009911
                      5,                 1.4018,                 2.4653,                 2.7865,                  1.593,                0.16195,                0.29032,                0.13449,                0.06058,                0.18273,                0.25806,                0.14576,                0.05347,                 2.3299,                 5.0377,                 9.8993,                 3.3079,              0.0011978,              0.0011978,              0.0011978
                      6,                 1.7774,                 3.0074,                   3.63,                 1.9826,                   0.08,                0.06452,                0.07797,                0.02104,                   0.08,                0.06452,                0.08278,                0.02222,                 2.6756,                 7.3973,                 101.53,                 5.1542,              0.0013861,              0.0013861,              0.0013861
                      7,                 2.2481,                 3.3639,                 4.0815,                 2.2562,                   0.08,                0.06452,                0.07797,                0.02104,                   0.08,                0.06452,                0.08278,                0.02222,                 2.6756,                 7.3973,                 101.53,                 5.1542,              0.0015559,              0.0015559,              0.0015559
                      8,                 2.0747,                 4.1355,                  3.998,                 2.0903,                0.00174,                0.09677,                0.00063,                0.00018,                0.00303,                0.16129,                 0.0009,                0.00019,                 4.9174,                 30.224,                 404.44,                 16.125,               0.001538,               0.001538,               0.001538
                      9,                 2.6298,                 4.0567,                 3.6067,                 2.6369,                0.00174,                0.09677,                0.00063,                0.00018,                0.00303,                0.16129,                 0.0009,                0.00019,                 4.9174,                 30.224,                 404.44,                 16.125,               0.001538,               0.001538,               0.001538
                     10,                 2.7826,                 4.0618,                 3.6904,                 2.9366,                0.00174,                0.09677,                0.00063,                0.00018,                0.00303,                0.16129,                 0.0009,                0.00019,                 4.9174,                 30.224,                 404.44,                 16.125,               0.001472,               0.001472,               0.001472
                     11,                 2.6585,                 2.9809,                 3.3376,                 2.5292,                0.00169,                0.45161,                0.00135,                0.00039,                0.00229,                 0.6129,                0.00205,                0.00077,                 3.6109,                 4.1547,                 325.29,                 4.5172,               0.001406,               0.001406,               0.001406
                     12,                 2.7525,                 2.9447,                 3.1829,                 2.6155,                0.00169,                0.45161,                0.00135,                0.00039,                0.00229,                 0.6129,                0.00205,                0.00077,                 3.6109,                 4.1547,                 325.29,                 4.5172,                0.00134,                0.00134,                0.00134
                     13,                 2.5907,                 2.9208,                 3.2209,                  2.543,                 0.0033,                0.83871,                0.00929,                0.00215,                0.01365,                0.09677,                0.00859,                0.00147,                 3.1493,                 5.1219,                 3.1816,                 3.3314,               0.001274,               0.001274,               0.001274
